N	DenseCount	LowestFailures
1318	43	0.01
1338	37	0.014
1358	46	0.008
1379	46	0.012
1400	41	0.014
1421	47	0.016
1443	43	0.016
1465	40	0.018
1487	44	0.016
1510	47	0.016
1533	46	0.014
1556	40	0.016
1580	48	0.012
1604	50	0.014
1629	44	0.012
1654	47	0.012
1679	53	0.016
1705	47	0.016
1731	51	0.012
1758	44	0.018
1785	44	0.014
1812	52	0.01
1840	56	0.008
1868	48	0.014
1897	54	0.01
1926	54	0.012
1956	49	0.014
1986	56	0.012
2017	59	0.012
2048	49	0.01
2080	45	0.012
2112	44	0.012
2145	40	0.01
2178	50	0.016
2212	42	0.016
2246	46	0.01
2281	45	0.018
2316	40	0.012
2352	38	0.01
2388	48	0.01
2425	41	0.014
2462	46	0.012
2500	41	0.008
2539	40	0.016
2578	41	0.008
2618	44	0.014
2658	43	0.016
2699	48	0.01
2741	48	0.012
2783	48	0.014
2826	44	0.016
2870	50	0.014
2914	52	0.012
2959	47	0.014
3005	45	0.006
3051	58	0.016
3098	49	0.014
3146	46	0.006
3195	48	0.012
3244	42	0.014
3294	48	0.014
3345	49	0.012
3397	50	0.012
3450	58	0.012
3503	48	0.014
3557	50	0.018
3612	52	0.012
3668	54	0.012
3725	46	0.016
3783	52	0.012
3842	58	0.016
3902	58	0.012
3962	61	0.014
4023	56	0.016
4085	47	0.02
4148	50	0.014
4212	59	0.012
4277	52	0.016
4343	57	0.012
4410	54	0.012
4478	52	0.008
4547	60	0.014
4618	52	0.014
4690	53	0.01
4763	64	0.018
4837	60	0.008
4912	59	0.018
4988	54	0.018
5065	58	0.014
5144	60	0.008
5224	54	0.016
5305	60	0.008
5387	63	0.014
5471	64	0.018
5556	54	0.016
5642	56	0.012
5730	60	0.016
5819	62	0.016
5909	71	0.01
6001	65	0.014
6094	58	0.01
6189	65	0.014
6285	68	0.008
6383	69	0.012
6482	66	0.006
6583	65	0.014
6685	67	0.01
6789	66	0.014
6895	61	0.01
7002	64	0.012
7111	63	0.014
7222	61	0.012
7334	64	0.016
7448	67	0.02
7564	66	0.012
7682	69	0.01
7802	66	0.016
7923	66	0.008
8046	62	0.01
8171	72	0.016
8298	66	0.016
8427	63	0.014
8558	76	0.01
8691	73	0.012
8826	66	0.016
8963	69	0.012
9103	68	0.014
9245	68	0.008
9389	81	0.012
9535	78	0.01
9683	75	0.016
9834	71	0.016
9987	72	0.014
10143	78	0.018
10301	73	0.018
10461	79	0.008
10624	86	0.014
10790	80	0.008
10958	81	0.012
11129	74	0.016
11302	86	0.014
11478	95	0.012
11657	92	0.01
11839	82	0.014
12023	88	0.012
12210	94	0.014
12400	95	0.016
12593	99	0.012
12789	89	0.018
12988	104	0.016
13190	97	0.008
13396	89	0.014
13605	95	0.01
13817	94	0.016
14032	94	0.012
14251	97	0.016
14473	114	0.014
14699	105	0.006
14928	104	0.014
15161	97	0.018
15397	100	0.012
15637	94	0.018
15881	102	0.012
16129	102	0.01
16381	103	0.014
16636	106	0.014
16895	104	0.014
17158	110	0.018
17426	110	0.012
17698	110	0.018
17974	114	0.014
18254	112	0.012
18539	118	0.016
18828	115	0.016
19122	121	0.014
19420	119	0.016
19723	116	0.014
20031	130	0.018
20343	121	0.014
20660	119	0.016
20982	126	0.016
21309	130	0.006
21641	130	0.01
21979	126	0.008
22322	134	0.014
22670	131	0.016
23024	134	0.016
23383	139	0.018
23748	142	0.012
24119	148	0.012
24495	152	0.012
24877	152	0.014
25265	146	0.014
25659	162	0.016
26059	154	0.012
26466	157	0.016
26879	160	0.016
27298	168	0.01
27724	172	0.014
28157	168	0.006
28596	169	0.01
29042	172	0.012
29495	164	0.014
29955	179	0.006
30423	170	0.01
30898	175	0.016
31380	179	0.014
31870	176	0.016
32367	182	0.014
32872	186	0.012
33385	186	0.006
33906	195	0.016
34435	194	0.016
34973	195	0.016
35519	197	0.018
36073	208	0.016
36636	204	0.018
37208	209	0.012
37789	214	0.012
38379	225	0.006
38978	229	0.014
39587	237	0.014
40205	233	0.016
40833	244	0.018
41471	256	0.012
42118	264	0.016
42776	284	0.008
43444	292	0.014
44122	320	0.014
44811	319	0.014
45511	326	0.01
46222	321	0.014
46944	314	0.018
47677	344	0.014
48421	357	0.02
49177	357	0.01
49945	362	0.014
50725	369	0.014
51517	366	0.016
52321	375	0.012
53138	384	0.014
53968	378	0.016
54811	369	0.01
55667	366	0.008
56536	360	0.008
57419	359	0.01
58316	349	0.01
59227	339	0.012
60152	335	0.012
61091	326	0.014
62045	334	0.014
63014	334	0.012
63998	334	0.014
