N	DenseCount	LowestFailures
2539	43	0.014
2578	44	0.014
2618	50	0.01
2658	45	0.01
2699	46	0.008
2741	47	0.014
2783	39	0.01
2826	48	0.012
2870	45	0.014
2914	50	0.01
2959	55	0.016
3005	46	0.01
3051	50	0.012
3098	44	0.012
3146	50	0.01
3195	48	0.016
3244	56	0.014
3294	54	0.014
3345	55	0.01
3397	51	0.012
3450	46	0.018
3503	56	0.014
3557	54	0.014
3612	52	0.01
3668	52	0.016
3725	55	0.012
3783	51	0.014
3842	59	0.012
3902	53	0.014
3962	53	0.012
4023	59	0.01
4085	54	0.01
4148	51	0.018
4212	47	0.018
4277	56	0.016
4343	60	0.014
4410	54	0.014
4478	52	0.012
4547	57	0.014
4618	61	0.014
4690	51	0.016
4763	56	0.014
4837	62	0.016
4912	60	0.016
4988	55	0.016
5065	64	0.012
5144	62	0.012
5224	67	0.01
5305	62	0.004
5387	58	0.012
5471	58	0.012
5556	60	0.014
5642	64	0.016
5730	60	0.014
5819	63	0.018
5909	58	0.016
6001	60	0.016
6094	66	0.014
6189	61	0.014
6285	64	0.014
6383	65	0.008
6482	64	0.018
6583	62	0.01
6685	60	0.012
6789	70	0.014
6895	66	0.016
7002	66	0.018
7111	69	0.01
7222	64	0.018
7334	65	0.016
7448	69	0.012
7564	64	0.014
7682	76	0.012
7802	66	0.016
7923	60	0.016
8046	62	0.018
8171	64	0.01
8298	71	0.012
8427	73	0.01
8558	66	0.016
8691	65	0.016
8826	70	0.018
8963	73	0.012
9103	70	0.01
9245	68	0.012
9389	75	0.012
9535	72	0.012
9683	74	0.016
9834	78	0.018
9987	68	0.012
10143	76	0.012
10301	85	0.016
10461	81	0.014
10624	77	0.02
10790	79	0.01
10958	81	0.01
11129	84	0.008
11302	88	0.014
11478	82	0.012
11657	95	0.01
11839	95	0.01
12023	85	0.016
12210	83	0.01
12400	88	0.012
12593	85	0.01
12789	90	0.016
12988	100	0.006
13190	104	0.014
13396	97	0.008
13605	94	0.012
13817	102	0.01
14032	108	0.008
14251	99	0.016
14473	102	0.018
14699	102	0.014
14928	102	0.016
15161	104	0.014
15397	108	0.01
15637	106	0.006
15881	100	0.018
16129	103	0.012
16381	102	0.014
16636	108	0.014
16895	101	0.014
17158	102	0.006
17426	103	0.02
17698	112	0.012
17974	116	0.006
18254	118	0.008
18539	116	0.014
18828	119	0.01
19122	122	0.014
19420	127	0.008
19723	126	0.016
20031	125	0.014
20343	126	0.014
20660	131	0.014
20982	131	0.01
21309	128	0.014
21641	130	0.008
21979	139	0.012
22322	138	0.012
22670	135	0.014
23024	134	0.016
23383	146	0.014
23748	136	0.016
24119	148	0.012
24495	146	0.012
24877	145	0.018
25265	151	0.012
25659	161	0.01
26059	151	0.012
26466	161	0.016
26879	162	0.012
27298	173	0.01
27724	172	0.01
28157	168	0.012
28596	173	0.008
29042	176	0.016
29495	176	0.014
29955	175	0.016
30423	178	0.01
30898	183	0.016
31380	175	0.014
31870	183	0.016
32367	191	0.012
32872	182	0.012
33385	183	0.01
33906	200	0.008
34435	193	0.016
34973	199	0.012
35519	207	0.016
36073	204	0.012
36636	214	0.012
37208	214	0.014
37789	218	0.01
38379	224	0.014
38978	223	0.012
39587	232	0.018
40205	232	0.018
40833	245	0.012
41471	258	0.012
42118	266	0.014
42776	297	0.01
43444	289	0.018
44122	320	0.006
44811	326	0.006
45511	321	0.012
46222	315	0.016
46944	328	0.018
47677	333	0.016
48421	348	0.016
49177	354	0.016
49945	368	0.014
50725	361	0.01
51517	369	0.014
52321	365	0.02
53138	362	0.016
53968	364	0.014
54811	355	0.014
55667	358	0.014
56536	349	0.01
57419	345	0.016
58316	335	0.014
59227	328	0.018
60152	318	0.014
61091	336	0.01
62045	332	0.01
63014	336	0.012
63998	333	0.016
