# peelcost: trials=6 solver=ks_bmax_top16 heavy=6 seed=0xc057c0de
# cost model is a block-XOR proxy: matrix_xors + precode_gen + N*solve_width + solve_width^2/2 + H*solve_width
# precode schemes change width/generation estimates only; rank and constraint-row effects require precode_sim
N,bb,overhead,solver,structure,precode,D,ldpc_cols,dense_rows,H,trials,resid_cols_mu,resid_cols_max,resid_rows_mu,matrix_refs_mu,matrix_xors_mu,legacy_total_xors_mu,solve_width_mu,precode_gen_xors_mu,backsub_xors_mu,ge_block_xors_mu,heavy_muladds_mu,total_block_xors_mu
3200,102400,2,ks_bmax_top16,lt_m2_c256,dense,62,0,62,6,6,58.8333,89,99.8333,19820.0000,16618.0000,211351.6667,126.8333,8155.0000,405866.6667,8166.5833,761.0000,439567.2500
3200,102400,2,ks_bmax_top16,lt_m2_c256,ldpcdense,55,43,12,6,6,58.8333,89,99.8333,19820.0000,16618.0000,211351.6667,119.8333,17673.0000,383466.6667,7303.2500,719.0000,425779.9167
3200,102400,2,ks_bmax_top16,lt_m2_c512,dense,62,0,62,6,6,60.0000,69,115.0000,21357.8333,18155.8333,217173.0000,128.0000,8155.0000,409600.0000,8222.0000,768.0000,444900.8333
3200,102400,2,ks_bmax_top16,lt_m2_c512,ldpcdense,55,43,12,6,6,60.0000,69,115.0000,21357.8333,18155.8333,217173.0000,121.0000,17673.0000,387200.0000,7350.5000,726.0000,431105.3333
3200,102400,2,ks_bmax_top16,lt_m2_c1024,dense,62,0,62,6,6,61.5000,85,136.8333,24013.5000,20811.5000,226454.3333,129.5000,8155.0000,414400.0000,8473.9167,777.0000,452617.4167
3200,102400,2,ks_bmax_top16,lt_m2_c1024,ldpcdense,55,43,12,6,6,61.5000,85,136.8333,24013.5000,20811.5000,226454.3333,122.5000,17673.0000,392000.0000,7591.9167,735.0000,438811.4167
32000,102400,0,ks_bmax_top16,policy,dense,190,0,190,6,6,264.8333,369,148.1667,177126.0000,145126.0000,8693025.8333,460.8333,80475.0000,14746666.6667,107731.9167,2765.0000,15082764.5833
32000,102400,0,ks_bmax_top16,policy,ldpcdense,190,190,0,6,6,264.8333,369,148.1667,177126.0000,145126.0000,8693025.8333,460.8333,176190.0000,14746666.6667,107731.9167,2765.0000,15178479.5833
32000,102400,0,ks_bmax_top16,lt_m2_c96,dense,190,0,190,6,6,345.3333,377,169.8333,167309.0000,135309.0000,11305756.0000,541.3333,80475.0000,17322666.6667,146783.5000,3248.0000,17688482.1667
32000,102400,0,ks_bmax_top16,lt_m2_c96,ldpcdense,190,190,0,6,6,345.3333,377,169.8333,167309.0000,135309.0000,11305756.0000,541.3333,176190.0000,17322666.6667,146783.5000,3248.0000,17784197.1667
32000,102400,0,ks_bmax_top16,lt_m2_c256,dense,190,0,190,6,6,233.3333,322,182.8333,195895.1667,163895.1667,7687379.1667,429.3333,80475.0000,13738666.6667,93350.0000,2576.0000,14078962.8333
32000,102400,0,ks_bmax_top16,lt_m2_c256,ldpcdense,190,190,0,6,6,233.3333,322,182.8333,195895.1667,163895.1667,7687379.1667,429.3333,176190.0000,13738666.6667,93350.0000,2576.0000,14174677.8333
32000,102400,0,ks_bmax_top16,lt_m2_c512,dense,190,0,190,6,6,194.6667,218,217.8333,216400.8333,184400.8333,6458311.8333,390.6667,80475.0000,12501333.3333,76611.8333,2344.0000,12845165.0000
32000,102400,0,ks_bmax_top16,lt_m2_c512,ldpcdense,190,190,0,6,6,194.6667,218,217.8333,216400.8333,184400.8333,6458311.8333,390.6667,176190.0000,12501333.3333,76611.8333,2344.0000,12940880.0000
32000,102400,0,ks_bmax_top16,lt_m2_c1024,dense,190,0,190,6,6,191.3333,219,294.6667,237232.5000,205232.5000,6384918.1667,387.3333,80475.0000,12394666.6667,75231.0000,2324.0000,12757929.1667
32000,102400,0,ks_bmax_top16,lt_m2_c1024,ldpcdense,190,190,0,6,6,191.3333,219,294.6667,237232.5000,205232.5000,6384918.1667,387.3333,176190.0000,12394666.6667,75231.0000,2324.0000,12853644.1667
32000,102400,2,ks_bmax_top16,policy,dense,190,0,190,6,6,291.3333,381,157.0000,177098.0000,145096.0000,9555071.3333,487.3333,80475.0000,15594666.6667,119963.6667,2924.0000,15943125.3333
32000,102400,2,ks_bmax_top16,policy,ldpcdense,190,190,0,6,6,291.3333,381,157.0000,177098.0000,145096.0000,9555071.3333,487.3333,176190.0000,15594666.6667,119963.6667,2924.0000,16038840.3333
32000,102400,2,ks_bmax_top16,lt_m2_c96,dense,190,0,190,6,6,369.8333,397,186.5000,167598.0000,135596.0000,12107479.1667,565.8333,80475.0000,18106666.6667,160303.5833,3395.0000,18486436.2500
32000,102400,2,ks_bmax_top16,lt_m2_c96,ldpcdense,190,190,0,6,6,369.8333,397,186.5000,167598.0000,135596.0000,12107479.1667,565.8333,176190.0000,18106666.6667,160303.5833,3395.0000,18582151.2500
32000,102400,2,ks_bmax_top16,lt_m2_c256,dense,190,0,190,6,6,222.5000,284,164.8333,196990.6667,164988.6667,7335656.1667,418.5000,80475.0000,13392000.0000,88151.7500,2511.0000,13728126.4167
32000,102400,2,ks_bmax_top16,lt_m2_c256,ldpcdense,190,190,0,6,6,222.5000,284,164.8333,196990.6667,164988.6667,7335656.1667,418.5000,176190.0000,13392000.0000,88151.7500,2511.0000,13823841.4167
32000,102400,2,ks_bmax_top16,lt_m2_c512,dense,190,0,190,6,6,205.6667,236,230.3333,217092.5000,185090.5000,6814224.3333,401.6667,80475.0000,12853333.3333,80815.8333,2410.0000,13202124.6667
32000,102400,2,ks_bmax_top16,lt_m2_c512,ldpcdense,190,190,0,6,6,205.6667,236,230.3333,217092.5000,185090.5000,6814224.3333,401.6667,176190.0000,12853333.3333,80815.8333,2410.0000,13297839.6667
32000,102400,2,ks_bmax_top16,lt_m2_c1024,dense,190,0,190,6,6,197.8333,232,314.3333,239819.1667,207817.1667,6602023.0000,393.8333,80475.0000,12602666.6667,77883.2500,2363.0000,12971205.0833
32000,102400,2,ks_bmax_top16,lt_m2_c1024,ldpcdense,190,190,0,6,6,197.8333,232,314.3333,239819.1667,207817.1667,6602023.0000,393.8333,176190.0000,12602666.6667,77883.2500,2363.0000,13066920.0833
