N,overhead,structure,method_id,method,trials,actual_N_mu,matrix_rows_mu,cols_mu,cols_var,cols_sd,c50,c95,c99,rows_mu,rows_var,rows_sd,r50,r95,r99,row_refs_mu,row_xors_mu,matrix_refs_mu,matrix_xors_mu,solve_sparse_xors_mu,solve_dense_xors_est_mu,solve_total_xors_est_mu,combined_xors_mu,build_us,greedy_us,total_us,throughput_per_s
32000,0,lt_m2_c512,19,rqd2_minfill,400,32000.0975,32000.0975,124.515,443.619775,21.062283233305926,120,164,186,124.515,443.619775,21.062283233305926,120,164,186,6.829625000000001,5.829625000000001,218549.1375,186549.04,186411.745,15947.605,202359.35,388908.39,87122.0,236509.375,323992.85,3.086487865395795
32000,0,lt_m2_c512,29,top16_lowref,400,32000.0975,32000.0975,141.0275,426.65674375000003,20.655670982807603,137,179,200,141.0275,426.65674375000003,20.655670982807603,137,179,200,6.829625000000001,5.829625000000001,218549.1375,186549.04,185829.145,20315.4125,206144.5575,392693.59750000003,89544.775,17208.725,107071.7,9.339536030529075
32000,0,lt_m2_c512,40,rqcc_lowref,400,32000.0975,32000.0975,124.515,443.619775,21.062283233305926,120,164,186,124.515,443.619775,21.062283233305926,120,164,186,6.829625000000001,5.829625000000001,218549.1375,186549.04,186426.595,15947.605,202374.2,388923.24,86940.175,45696.375,132918.425,7.523411445779621
32000,0,lt_m2_c512,42,rqcc_dup,400,32000.0975,32000.0975,124.515,443.619775,21.062283233305926,120,164,186,124.515,443.619775,21.062283233305926,120,164,186,6.829625000000001,5.829625000000001,218549.1375,186549.04,185838.455,15947.605,201786.06,388335.1,86988.75,244998.875,332284.375,3.0094704272507546
32000,0,lt_m2_c512,43,rqcc_ratio,400,32000.0975,32000.0975,124.515,443.619775,21.062283233305926,120,164,186,124.515,443.619775,21.062283233305926,120,164,186,6.829625000000001,5.829625000000001,218549.1375,186549.04,186303.09,15947.605,202250.695,388799.735,90909.975,277345.6,368628.825,2.7127558459379837
32000,0,lt_m2_c512,75,ks_boundary_min,400,32000.0975,32000.0975,124.515,443.619775,21.062283233305926,120,164,186,124.515,443.619775,21.062283233305926,120,164,186,6.829625000000001,5.829625000000001,218549.1375,186549.04,186313.0275,15947.605,202260.6325,388809.6725,95280.075,293317.925,389039.15,2.5704353919136413
32000,0,lt_m2_c512,76,ks_boundary_max,400,32000.0975,32000.0975,124.515,443.619775,21.062283233305926,120,164,186,124.515,443.619775,21.062283233305926,120,164,186,6.829625000000001,5.829625000000001,218549.1375,186549.04,185705.0225,15947.605,201652.6275,388201.6675,96793.075,314800.8,412191.7,2.426055643527029
32000,0,lt_m2_c512,78,ks_lowref,400,32000.0975,32000.0975,124.515,443.619775,21.062283233305926,120,164,186,124.515,443.619775,21.062283233305926,120,164,186,6.829625000000001,5.829625000000001,218549.1375,186549.04,186426.5925,15947.605,202374.1975,388923.23750000005,101009.075,323001.225,424902.875,2.353479015645634
32000,0,lt_m2_c512,79,ks_random,400,32000.0975,32000.0975,124.515,443.619775,21.062283233305926,120,164,186,124.515,443.619775,21.062283233305926,120,164,186,6.829625000000001,5.829625000000001,218549.1375,186549.04,186124.73,15947.605,202072.335,388621.375,104547.65,320700.8,426506.725,2.344628915288499
32000,0,lt_m2_c512,94,hyb_lowref10,400,32000.0975,32000.0975,137.4625,442.99859375,21.047531773345778,134,178,199,137.4625,442.99859375,21.047531773345778,134,178,199,6.829625000000001,5.829625000000001,218549.1375,186549.04,185830.285,19338.9375,205169.2225,391718.2625,105983.85,26683.475,134126.45,7.455650992030281
32000,0,lt_m2_c512,99,hyb_rqbeam,400,32000.0975,32000.0975,125.39,440.2229,20.98148946095105,121,164,186,125.39,440.2229,20.98148946095105,121,164,186,6.829625000000001,5.829625000000001,218549.1375,186549.04,186308.81,16162.875,202471.685,389020.725,118208.125,2185695.675,2308124.45,0.4332522018039365
32000,0,lt_m2_c512_fold,0,default,400,32000.0975,32000.0975,126.9725,360.81174375,18.995045242115115,124,166,175,126.9725,360.81174375,18.995045242115115,124,166,175,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,216408.4,16482.8275,232891.2275,450557.18000000005,143576.5,27690.35,173258.325,5.771728429211121
32000,0,lt_m2_c512_fold,7,random_tie,400,32000.0975,32000.0975,126.965,357.148775,18.898380221595712,124,164,177,126.965,357.148775,18.898380221595712,124,164,177,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,216408.2875,16477.26,232885.5475,450551.5,147995.375,28984.95,179104.425,5.5833349734379825
32000,0,lt_m2_c512_fold,10,raptorq_d2cc,400,32000.0975,32000.0975,109.8575,381.49719375,19.531953147342946,106,150,164,109.8575,381.49719375,19.531953147342946,106,150,164,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,217482.76,12450.1675,229932.9275,447598.88,142471.275,93624.325,237353.8,4.213119823655657
32000,0,lt_m2_c512_fold,18,rqd2_default,400,32000.0975,32000.0975,109.8575,381.49719375,19.531953147342946,106,150,164,109.8575,381.49719375,19.531953147342946,106,150,164,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,216635.9125,12450.1675,229086.08,446752.0325,131144.825,79466.45,211495.7,4.728228517175526
32000,0,lt_m2_c512_fold,19,rqd2_minfill,400,32000.0975,32000.0975,109.8575,381.49719375,19.531953147342946,106,150,164,109.8575,381.49719375,19.531953147342946,106,150,164,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,217431.7275,12450.1675,229881.895,447547.84750000003,123536.1,549672.175,673767.125,1.4841923312895386
32000,0,lt_m2_c512_fold,29,top16_lowref,400,32000.0975,32000.0975,128.4425,370.00169374999996,19.23542808855576,125,164,181,128.4425,370.00169374999996,19.23542808855576,125,164,181,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,216643.975,16867.4775,233511.4525,451177.405,126061.975,27056.45,153708.275,6.505830606712618
32000,0,lt_m2_c512_fold,40,rqcc_lowref,400,32000.0975,32000.0975,109.8575,381.49719375,19.531953147342946,106,150,164,109.8575,381.49719375,19.531953147342946,106,150,164,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,217482.76,12450.1675,229932.9275,447598.88,133384.425,83519.175,217363.75,4.600583123910956
