# source=/tmp/lookahead_cost/lookahead_exact_controls_N1000_6400_t20_j10.csv
# command=peel_sweep --N 1000,6400 --N-jitter 10 --structures lt_m2_c16,lt_m1_c64,rs_c001_d50_c128,lt_m2_c3200,wirehair_rand --methods 18,40,119,120,123,124 --trials 20 --overhead 0 --threads 128 --pdf
# note=small exact-copy one-step scoring control; omitted at N=32000 because smoke testing showed multi-second trials
# xor_calibration_us_per_xor_1280=0.022577343
# xor_calibration_us_per_xor_100kib=4.309740442
# xor_calibration_us_per_xor_1mib=45.927485992
method_id,method,cost,structure,N,N_jitter,actual_N_mu,actual_N_min,actual_N_max,matrix_rows_mu,matrix_rows_min,matrix_rows_max,matrix_refs_mu,row_refs_mu,row_xors_mu,matrix_xors_mu,overhead,overhead_pct,source,trials,cols_mu,cols_sd,c50,c95,c99,cmax,rows_mu,rows_sd,r50,r95,r99,rmax,comp_mu,maxcomp_mu,sumsq_mu,init_todo_mu,init_d2_mu,choices_mu,solve_sparse_xors_mu,solve_dense_xors_est_mu,solve_total_xors_est_mu,build_us,greedy_us,total_us,cols_pdf,rows_pdf,greedy_xor_eq_1280,solve_plus_greedy_xors_1280,matrix_solve_plus_greedy_xors_1280,greedy_xor_eq_100kib,solve_plus_greedy_xors_100kib,matrix_solve_plus_greedy_xors_100kib,greedy_xor_eq_1mib,solve_plus_greedy_xors_1mib,matrix_solve_plus_greedy_xors_1mib
119,av_top16,O(cols + 16*local-avalanche) top16/default + local cascade estimate,rs_c001_d50_c128,1000,10,1003.05,992,1010,1003.05,992,1010,5812.95,5.7955,4.7955,4809.90,0,0,random-paired,20,19.20,2.66,19,23,23,23,19.20,2.66,19,23,23,23,18.25,1.75,22.30,911.45,453.75,19.20,4698.10,375.70,5073.80,1462.3,1662.2,3131.7,14:0.050;15:0.050;16:0.050;17:0.200;19:0.250;21:0.100;22:0.200;23:0.100,14:0.050;15:0.050;16:0.050;17:0.200;19:0.250;21:0.100;22:0.200;23:0.100,73622.4807,78696.2807,83506.1807,385.6845,5459.4845,10269.3845,36.1918,5109.9918,9919.8918
120,av_top64,O(cols + 64*local-avalanche) top64/default + local cascade estimate,rs_c001_d50_c128,1000,10,1003.05,992,1010,1003.05,992,1010,5812.95,5.7955,4.7955,4809.90,0,0,random-paired,20,19.00,2.66,19,23,23,23,19.00,2.66,19,23,23,23,18.10,1.75,21.70,911.45,453.75,19.00,4702.90,368.10,5071.00,1447.8,2772.6,4227.9,14:0.050;15:0.050;16:0.050;17:0.200;18:0.150;19:0.100;20:0.050;21:0.050;22:0.200;23:0.100,14:0.050;15:0.050;16:0.050;17:0.200;18:0.150;19:0.100;20:0.050;21:0.050;22:0.200;23:0.100,122804.5302,127875.5302,132685.4302,643.3334,5714.3334,10524.2334,60.3691,5131.3691,9941.2691
123,sim1_top16,O(cols + 16*copy) top16/default + exact one-step score,rs_c001_d50_c128,1000,10,1003.05,992,1010,1003.05,992,1010,5812.95,5.7955,4.7955,4809.90,0,0,random-paired,20,19.20,2.66,19,23,23,23,19.20,2.66,19,23,23,23,17.65,2.30,26.70,911.45,453.75,19.20,4680.30,375.70,5056.00,1536.5,17403.5,18961.0,14:0.050;15:0.050;16:0.050;17:0.200;19:0.250;21:0.100;22:0.200;23:0.100,14:0.050;15:0.050;16:0.050;17:0.200;19:0.250;21:0.100;22:0.200;23:0.100,770839.1550,775895.1550,780705.0550,4038.1782,9094.1782,13904.0782,378.9343,5434.9343,10244.8343
124,sim1_rqcc16,"O(rows*degree + cols + min(16,cc)*copy) degree-2 CC + exact one-step score",rs_c001_d50_c128,1000,10,1003.05,992,1010,1003.05,992,1010,5812.95,5.7955,4.7955,4809.90,0,0,random-paired,20,20.95,3.14,21,26,26,26,20.95,3.14,21,26,26,26,19.10,2.45,29.45,911.45,453.75,20.95,4664.15,448.75,5112.90,1605.7,16747.7,18367.3,15:0.050;16:0.050;17:0.050;18:0.100;19:0.100;20:0.050;21:0.200;22:0.050;23:0.100;24:0.100;25:0.050;26:0.100,15:0.050;16:0.050;17:0.050;18:0.100;19:0.100;20:0.050;21:0.200;22:0.050;23:0.100;24:0.100;25:0.050;26:0.100,741792.3358,746905.2358,751715.1358,3886.0113,8998.9113,13808.8113,364.6553,5477.5553,10287.4553
18,rqd2_default,O(rows*degree + cols) largest degree-2 component/default tie,wirehair_rand,1000,10,1003.05,992,1010,1003.05,992,1010,5160.30,5.1450,4.1450,4157.25,0,0,random-paired,20,24.35,5.84,22,35,40,40,24.35,5.84,22,35,40,40,24.15,1.20,24.85,676.10,337.25,24.35,4061.50,627.05,4688.55,448.7,211.4,671.8,17:0.050;19:0.100;20:0.150;21:0.100;22:0.150;23:0.050;24:0.050;25:0.050;26:0.050;29:0.050;30:0.050;32:0.050;35:0.050;40:0.050,17:0.050;19:0.100;20:0.150;21:0.100;22:0.150;23:0.050;24:0.050;25:0.050;26:0.050;29:0.050;30:0.050;32:0.050;35:0.050;40:0.050,9363.3693,14051.9193,18209.1693,49.0517,4737.6017,8894.8517,4.6029,4693.1529,8850.4029
40,rqcc_lowref,O(rows*degree + cols) largest degree-2 component + low refs,wirehair_rand,1000,10,1003.05,992,1010,1003.05,992,1010,5160.30,5.1450,4.1450,4157.25,0,0,random-paired,20,24.35,5.84,22,35,40,40,24.35,5.84,22,35,40,40,24.35,1.00,24.35,676.10,337.25,24.35,4135.65,627.05,4762.70,358.2,222.3,588.5,17:0.050;19:0.100;20:0.150;21:0.100;22:0.150;23:0.050;24:0.050;25:0.050;26:0.050;29:0.050;30:0.050;32:0.050;35:0.050;40:0.050,17:0.050;19:0.100;20:0.150;21:0.100;22:0.150;23:0.050;24:0.050;25:0.050;26:0.050;29:0.050;30:0.050;32:0.050;35:0.050;40:0.050,9846.1542,14608.8542,18766.1042,51.5808,4814.2808,8971.5308,4.8402,4767.5402,8924.7902
119,av_top16,O(cols + 16*local-avalanche) top16/default + local cascade estimate,wirehair_rand,1000,10,1003.05,992,1010,1003.05,992,1010,5160.30,5.1450,4.1450,4157.25,0,0,random-paired,20,22.85,5.73,21,32,38,38,22.85,5.73,21,32,38,38,22.85,1.00,22.85,676.10,337.25,22.85,4083.85,554.95,4638.80,508.2,1119.8,1635.7,15:0.050;17:0.100;18:0.100;19:0.050;20:0.100;21:0.200;23:0.050;24:0.050;25:0.050;28:0.050;29:0.050;30:0.050;32:0.050;38:0.050,15:0.050;17:0.100;18:0.100;19:0.050;20:0.100;21:0.200;23:0.050;24:0.050;25:0.050;28:0.050;29:0.050;30:0.050;32:0.050;38:0.050,49598.3961,54237.1961,58394.4461,259.8300,4898.6300,9055.8800,24.3819,4663.1819,8820.4319
120,av_top64,O(cols + 64*local-avalanche) top64/default + local cascade estimate,wirehair_rand,1000,10,1003.05,992,1010,1003.05,992,1010,5160.30,5.1450,4.1450,4157.25,0,0,random-paired,20,22.70,5.84,21,32,38,38,22.70,5.84,21,32,38,38,22.70,1.00,22.70,676.10,337.25,22.70,4086.60,549.40,4636.00,364.6,1866.5,2238.7,15:0.050;16:0.100;18:0.100;19:0.050;20:0.100;21:0.200;22:0.050;24:0.050;25:0.050;28:0.050;29:0.050;30:0.050;32:0.050;38:0.050,15:0.050;16:0.100;18:0.100;19:0.050;20:0.100;21:0.200;22:0.050;24:0.050;25:0.050;28:0.050;29:0.050;30:0.050;32:0.050;38:0.050,82671.3755,87307.3755,91464.6255,433.0887,5069.0887,9226.3387,40.6402,4676.6402,8833.8902
123,sim1_top16,O(cols + 16*copy) top16/default + exact one-step score,wirehair_rand,1000,10,1003.05,992,1010,1003.05,992,1010,5160.30,5.1450,4.1450,4157.25,0,0,random-paired,20,22.85,5.73,21,32,38,38,22.85,5.73,21,32,38,38,22.60,1.25,23.55,676.10,337.25,22.85,4073.15,554.95,4628.10,397.1,17331.2,17748.8,15:0.050;17:0.100;18:0.100;19:0.050;20:0.100;21:0.200;23:0.050;24:0.050;25:0.050;28:0.050;29:0.050;30:0.050;32:0.050;38:0.050,15:0.050;17:0.100;18:0.100;19:0.050;20:0.100;21:0.200;23:0.050;24:0.050;25:0.050;28:0.050;29:0.050;30:0.050;32:0.050;38:0.050,767636.8295,772264.9295,776422.1795,4021.4023,8649.5023,12806.7523,377.3601,5005.4601,9162.7101
124,sim1_rqcc16,"O(rows*degree + cols + min(16,cc)*copy) degree-2 CC + exact one-step score",wirehair_rand,1000,10,1003.05,992,1010,1003.05,992,1010,5160.30,5.1450,4.1450,4157.25,0,0,random-paired,20,24.35,5.84,22,35,40,40,24.35,5.84,22,35,40,40,24.15,1.20,24.85,676.10,337.25,24.35,4061.50,627.05,4688.55,466.1,13940.9,14420.8,17:0.050;19:0.100;20:0.150;21:0.100;22:0.150;23:0.050;24:0.050;25:0.050;26:0.050;29:0.050;30:0.050;32:0.050;35:0.050;40:0.050,17:0.050;19:0.100;20:0.150;21:0.100;22:0.150;23:0.050;24:0.050;25:0.050;26:0.050;29:0.050;30:0.050;32:0.050;35:0.050;40:0.050,617473.0127,622161.5627,626318.8127,3234.7424,7923.2924,12080.5424,303.5415,4992.0915,9149.3415
