# peelcost: trials=8 solver=ks_bmax_top16 heavy=6 seed=0xc057c0de
# cost model is a block-XOR proxy: matrix_xors + precode_gen + N*solve_width + solve_width^2/2 + H*solve_width
# precode schemes change width/generation estimates only; rank and constraint-row effects require precode_sim
N,bb,overhead,solver,structure,precode,D,ldpc_cols,dense_rows,H,trials,resid_cols_mu,resid_cols_max,resid_rows_mu,matrix_refs_mu,matrix_xors_mu,legacy_total_xors_mu,solve_width_mu,precode_gen_xors_mu,backsub_xors_mu,ge_block_xors_mu,heavy_muladds_mu,total_block_xors_mu
3200,1280,2,ks_bmax_top16,lt_m1_c16,dense,62,0,62,6,8,132.7500,143,134.7500,11391.3750,8189.3750,450952.1250,200.7500,8155.0000,642400.0000,20187.6250,1204.5000,680136.5000
3200,1280,2,ks_bmax_top16,lt_m1_c16,ldpcdense,55,43,12,6,8,132.7500,143,134.7500,11391.3750,8189.3750,450952.1250,193.7500,17673.0000,620000.0000,18806.8750,1162.5000,665831.7500
3200,1280,2,ks_bmax_top16,lt_m1_c32,dense,62,0,62,6,8,70.8750,87,72.8750,13436.0000,10234.0000,242253.1250,138.8750,8155.0000,444400.0000,9670.1875,833.2500,473292.4375
3200,1280,2,ks_bmax_top16,lt_m1_c32,ldpcdense,55,43,12,6,8,70.8750,87,72.8750,13436.0000,10234.0000,242253.1250,131.8750,17673.0000,422000.0000,8722.5625,791.2500,459420.8125
3200,1280,2,ks_bmax_top16,lt_m1_c64,dense,62,0,62,6,8,50.0000,63,52.0000,15500.2500,12298.2500,174932.0000,118.0000,8155.0000,377600.0000,6978.8750,708.0000,405740.1250
3200,1280,2,ks_bmax_top16,lt_m1_c64,ldpcdense,55,43,12,6,8,50.0000,63,52.0000,15500.2500,12298.2500,174932.0000,111.0000,17673.0000,355200.0000,6177.3750,666.0000,392014.6250
3200,1280,2,ks_bmax_top16,lt_m2_c96,dense,62,0,62,6,8,41.2500,52,43.2500,16584.2500,13382.2500,147212.0000,109.2500,8155.0000,349600.0000,5990.6250,655.5000,377783.3750
3200,1280,2,ks_bmax_top16,lt_m2_c96,ldpcdense,55,43,12,6,8,41.2500,52,43.2500,16584.2500,13382.2500,147212.0000,102.2500,17673.0000,327200.0000,5250.3750,613.5000,364119.1250
3200,1280,2,ks_bmax_top16,lt_m2_c128,dense,62,0,62,6,8,40.1250,58,42.1250,17416.3750,14214.3750,144388.0000,108.1250,8155.0000,346000.0000,5887.1875,648.7500,374905.3125
3200,1280,2,ks_bmax_top16,lt_m2_c128,ldpcdense,55,43,12,6,8,40.1250,58,42.1250,17416.3750,14214.3750,144388.0000,101.1250,17673.0000,323600.0000,5154.8125,606.7500,361248.9375
3200,1280,2,ks_bmax_top16,lt_m2_c256,dense,62,0,62,6,8,37.3750,53,39.3750,19975.2500,16773.2500,137906.6250,105.3750,8155.0000,337200.0000,5582.8125,632.2500,368343.3125
3200,1280,2,ks_bmax_top16,lt_m2_c256,ldpcdense,55,43,12,6,8,37.3750,53,39.3750,19975.2500,16773.2500,137906.6250,98.3750,17673.0000,314800.0000,4869.6875,590.2500,354706.1875
3200,1280,2,ks_bmax_top16,lt_m2_c512,dense,62,0,62,6,8,36.6250,49,38.6250,21739.6250,18537.6250,137185.7500,104.6250,8155.0000,334800.0000,5489.9375,627.7500,367610.3125
