# dispatch_profile: name=v1 bands=1 band0=k[2,64000]:mixed-p244-frozen-10x2-d4
# precodefail: trials=1 threads=1 loss=0 seed=0x1 completion=mixed mixed_period=244 mixed_gf256_rows=10 mixed_gf16_rows=2 mixed_geometry=frozen mixed_residue_skew=0 mixed_residue_schedule=constant mixed_residue_hash_seed=0x0 mixed_residue_hash_keyed=0 mixed_independent_extension_residues=0 mixed_grouped_gf256_rows=0 mixed_grouped_gf256_row_mask=0x0 mixed_grouped_gf256_hash_seed=0x0 mixed_grouped_final_h_a_columns=0 mixed_residue_buckets_requested=auto mixed_extension_residue_seed_xor=0x4e source_hits_override=0 packet_peel_seed_xor=0x0 packet_peel_seed_table=none binary_dense_rows_override=4 binary_dense_two_anchor=0 binary_dense_two_anchor_phase=0 binary_dense_segmented_anchors=none gf256_heavy_rows_override=0 odd_packet_peel_seed_xor=0x0 packet_row_seed_multiplier=0x1 packet_row_seed_avalanche=0 seed_block_bytes_override=0 overhead_stream=salted full_payload_solve=0 schedule=iid
# untuned: construction_seed_explicit=0 construction_seed=0x0 construction_attempts=0 overhead_early_stop=0 encode_timing_reps=9 overhead_ladder_pct=0 overhead_ladder_min=0
N,bb,heavy_family,mix_count,overhead,trials,success,rank_fail,error,fail_rate,inact_mu,inact_max,binary_def_mu,binary_def_max,heavy_gain_mu,heavy_gain_min,heavy_shortfall,solve_ms_mu,build_ms_mu,peel_ms_mu,project_ms_mu,residual_ms_mu,backsub_ms_mu,seed_attempt,block_xors_mu,block_muladds_mu,first_rank_fail,binary_def_hist,heavy_gain_hist,failure_trials,active_packet_peel_seed_xor,mixed_joint_source_xors_mu,mixed_joint_marginal_xors_mu,mixed_joint_marginal_copies_mu,mixed_joint_active_deltas_mu,mixed_joint_scratch_bytes_mu,mixed_dual_source_columns_mu
454,2,periodic,3,0,1,1,0,0,0.00000000,60.000,60,12.000,12,12.000,12,0,0.292,0.026,0.102,0.041,0.106,0.017,0,8126.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=455,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=115003,seconds_per_k_symbols=0.000115003,symbols_per_sec=3956418.53,median_init_ns=114983,median_symbols_ns=20,sink=0
# encode_timing_phases,N=455,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9425,median_runtime_ns=30,median_solve_build_ns=10516,median_solve_peel_ns=30506,median_solve_project_ns=16675,median_solve_residual_ns=38908,median_solve_backsub_ns=8423
455,2,periodic,3,0,1,1,0,0,0.00000000,57.000,57,12.000,12,12.000,12,0,0.303,0.027,0.102,0.044,0.107,0.023,0,8402.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=456,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=115694,seconds_per_k_symbols=0.000115694,symbols_per_sec=3941431.71,median_init_ns=115674,median_symbols_ns=20,sink=0
# encode_timing_phases,N=456,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9334,median_runtime_ns=30,median_solve_build_ns=10886,median_solve_peel_ns=30075,median_solve_project_ns=16355,median_solve_residual_ns=40561,median_solve_backsub_ns=8032
456,2,periodic,3,0,1,1,0,0,0.00000000,61.000,61,12.000,12,12.000,12,0,0.178,0.017,0.061,0.024,0.066,0.010,0,9026.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=457,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=109385,seconds_per_k_symbols=0.000109385,symbols_per_sec=4177903.73,median_init_ns=109365,median_symbols_ns=30,sink=0
# encode_timing_phases,N=457,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9404,median_runtime_ns=30,median_solve_build_ns=10255,median_solve_peel_ns=28824,median_solve_project_ns=17666,median_solve_residual_ns=34092,median_solve_backsub_ns=8602
457,2,periodic,3,0,1,1,0,0,0.00000000,54.000,54,12.000,12,12.000,12,0,0.290,0.024,0.105,0.044,0.094,0.022,0,8420.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
