# precodefail: trials=1 threads=1 loss=0 seed=0x1 completion=mixed mixed_period=244 mixed_gf256_rows=10 mixed_gf16_rows=2 mixed_geometry=frozen mixed_residue_skew=0 mixed_residue_schedule=constant mixed_residue_hash_seed=0x0 mixed_residue_hash_keyed=0 mixed_independent_extension_residues=0 mixed_grouped_gf256_rows=0 mixed_grouped_gf256_row_mask=0x0 mixed_grouped_gf256_hash_seed=0x0 mixed_grouped_final_h_a_columns=0 mixed_residue_buckets_requested=auto mixed_extension_residue_seed_xor=0x4e source_hits_override=0 packet_peel_seed_xor=0x0 packet_peel_seed_table=none binary_dense_rows_override=4 binary_dense_two_anchor=0 binary_dense_two_anchor_phase=0 binary_dense_segmented_anchors=none gf256_heavy_rows_override=0 odd_packet_peel_seed_xor=0x0 packet_row_seed_multiplier=0x1 packet_row_seed_avalanche=0 seed_block_bytes_override=0 overhead_stream=salted full_payload_solve=0 schedule=iid
# untuned: construction_seed_explicit=0 construction_seed=0x0 construction_attempts=0 overhead_early_stop=0 encode_timing_reps=9 overhead_ladder_pct=0 overhead_ladder_min=0
N,bb,heavy_family,mix_count,overhead,trials,success,rank_fail,error,fail_rate,inact_mu,inact_max,binary_def_mu,binary_def_max,heavy_gain_mu,heavy_gain_min,heavy_shortfall,solve_ms_mu,build_ms_mu,peel_ms_mu,project_ms_mu,residual_ms_mu,backsub_ms_mu,seed_attempt,block_xors_mu,block_muladds_mu,first_rank_fail,binary_def_hist,heavy_gain_hist,failure_trials,active_packet_peel_seed_xor,mixed_joint_source_xors_mu,mixed_joint_marginal_xors_mu,mixed_joint_marginal_copies_mu,mixed_joint_active_deltas_mu,mixed_joint_scratch_bytes_mu,mixed_dual_source_columns_mu
# encode_timing_phases,N=522,heavy_family=periodic,mix_count=3,median_sysbuild_ns=11377,median_runtime_ns=30,median_solve_build_ns=11958,median_solve_peel_ns=33831,median_solve_project_ns=19819,median_solve_residual_ns=37957,median_solve_backsub_ns=10206
522,2,periodic,3,0,1,1,0,0,0.00000000,55.000,55,12.000,12,12.000,12,0,0.180,0.017,0.066,0.028,0.057,0.011,0,9826.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=523,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=132419,seconds_per_k_symbols=0.000132419,symbols_per_sec=3949584.27,median_init_ns=132399,median_symbols_ns=20,sink=0
# encode_timing_phases,N=523,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10926,median_runtime_ns=30,median_solve_build_ns=12268,median_solve_peel_ns=35563,median_solve_project_ns=19279,median_solve_residual_ns=44557,median_solve_backsub_ns=9524
523,2,periodic,3,0,1,1,0,0,0.00000000,62.000,62,12.000,12,12.000,12,0,0.329,0.029,0.116,0.048,0.117,0.020,0,9833.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=524,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=138448,seconds_per_k_symbols=0.000138448,symbols_per_sec=3784814.52,median_init_ns=138418,median_symbols_ns=30,sink=0
# encode_timing_phases,N=524,heavy_family=periodic,mix_count=3,median_sysbuild_ns=11147,median_runtime_ns=60,median_solve_build_ns=12949,median_solve_peel_ns=38267,median_solve_project_ns=19299,median_solve_residual_ns=46220,median_solve_backsub_ns=9935
524,2,periodic,3,0,1,1,0,0,0.00000000,64.000,64,12.000,12,12.000,12,0,0.344,0.031,0.123,0.048,0.121,0.020,0,9923.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=525,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=135163,seconds_per_k_symbols=0.000135163,symbols_per_sec=3884199.08,median_init_ns=135133,median_symbols_ns=20,sink=0
# encode_timing_phases,N=525,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10797,median_runtime_ns=40,median_solve_build_ns=12639,median_solve_peel_ns=37867,median_solve_project_ns=20160,median_solve_residual_ns=43085,median_solve_backsub_ns=10035
525,2,periodic,3,0,1,1,0,0,0.00000000,58.000,58,12.000,12,12.000,12,0,0.240,0.018,0.067,0.029,0.103,0.023,0,9941.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=526,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=158578,seconds_per_k_symbols=0.000158578,symbols_per_sec=3316979.66,median_init_ns=158548,median_symbols_ns=30,sink=0
# encode_timing_phases,N=526,heavy_family=periodic,mix_count=3,median_sysbuild_ns=11467,median_runtime_ns=50,median_solve_build_ns=13400,median_solve_peel_ns=41102,median_solve_project_ns=21112,median_solve_residual_ns=58128,median_solve_backsub_ns=9945
526,2,periodic,3,0,1,1,0,0,0.00000000,68.000,68,12.000,12,12.000,12,0,0.200,0.019,0.069,0.026,0.075,0.011,0,10236.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=527,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=134953,seconds_per_k_symbols=0.000134953,symbols_per_sec=3905063.24,median_init_ns=134923,median_symbols_ns=30,sink=0
# encode_timing_phases,N=527,heavy_family=periodic,mix_count=3,median_sysbuild_ns=11067,median_runtime_ns=40,median_solve_build_ns=12920,median_solve_peel_ns=35914,median_solve_project_ns=19549,median_solve_residual_ns=44878,median_solve_backsub_ns=10035
527,2,periodic,3,0,1,1,0,0,0.00000000,61.000,61,12.000,12,12.000,12,0,0.335,0.031,0.119,0.048,0.116,0.021,0,9776.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=528,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=150366,seconds_per_k_symbols=0.000150366,symbols_per_sec=3511432.11,median_init_ns=150346,median_symbols_ns=20,sink=0
# encode_timing_phases,N=528,heavy_family=periodic,mix_count=3,median_sysbuild_ns=11257,median_runtime_ns=40,median_solve_build_ns=13800,median_solve_peel_ns=42755,median_solve_project_ns=23615,median_solve_residual_ns=49464,median_solve_backsub_ns=10285
528,2,periodic,3,0,1,1,0,0,0.00000000,64.000,64,12.000,12,12.000,12,0,0.356,0.033,0.126,0.054,0.122,0.021,0,10622.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=529,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=143596,seconds_per_k_symbols=0.000143596,symbols_per_sec=3683946.63,median_init_ns=143575,median_symbols_ns=21,sink=0
# encode_timing_phases,N=529,heavy_family=periodic,mix_count=3,median_sysbuild_ns=11087,median_runtime_ns=40,median_solve_build_ns=12368,median_solve_peel_ns=36065,median_solve_project_ns=18698,median_solve_residual_ns=47842,median_solve_backsub_ns=9554
529,2,periodic,3,0,1,1,0,0,0.00000000,61.000,61,12.000,12,12.000,12,0,0.339,0.033,0.122,0.049,0.116,0.019,0,9297.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=530,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=125809,seconds_per_k_symbols=0.000125809,symbols_per_sec=4212735.18,median_init_ns=125769,median_symbols_ns=30,sink=0
# encode_timing_phases,N=530,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10566,median_runtime_ns=40,median_solve_build_ns=11898,median_solve_peel_ns=31357,median_solve_project_ns=20861,median_solve_residual_ns=40692,median_solve_backsub_ns=9864
530,2,periodic,3,0,1,1,0,0,0.00000000,59.000,59,12.000,12,12.000,12,0,0.336,0.031,0.123,0.051,0.110,0.020,0,9658.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=531,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=140531,seconds_per_k_symbols=0.000140531,symbols_per_sec=3778525.73,median_init_ns=140501,median_symbols_ns=30,sink=0
# encode_timing_phases,N=531,heavy_family=periodic,mix_count=3,median_sysbuild_ns=11267,median_runtime_ns=30,median_solve_build_ns=12468,median_solve_peel_ns=38909,median_solve_project_ns=20671,median_solve_residual_ns=46780,median_solve_backsub_ns=9855
531,2,periodic,3,0,1,1,0,0,0.00000000,60.000,60,12.000,12,12.000,12,0,0.177,0.016,0.062,0.027,0.061,0.011,0,9666.000,141.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=532,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=137526,seconds_per_k_symbols=0.000137526,symbols_per_sec=3868359.44,median_init_ns=137506,median_symbols_ns=20,sink=0
# encode_timing_phases,N=532,heavy_family=periodic,mix_count=3,median_sysbuild_ns=11617,median_runtime_ns=40,median_solve_build_ns=12619,median_solve_peel_ns=37156,median_solve_project_ns=19499,median_solve_residual_ns=45889,median_solve_backsub_ns=10125
532,2,periodic,3,0,1,1,0,0,0.00000000,62.000,62,12.000,12,12.000,12,0,0.355,0.031,0.117,0.048,0.116,0.043,0,9859.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=533,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=127251,seconds_per_k_symbols=0.000127251,symbols_per_sec=4188572.19,median_init_ns=127231,median_symbols_ns=20,sink=0
# encode_timing_phases,N=533,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10155,median_runtime_ns=30,median_solve_build_ns=11257,median_solve_peel_ns=35203,median_solve_project_ns=17096,median_solve_residual_ns=46189,median_solve_backsub_ns=8403
533,2,periodic,3,0,1,1,0,0,0.00000000,65.000,65,12.000,12,12.000,12,0,0.176,0.016,0.061,0.024,0.065,0.010,0,9780.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
