K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu
1000,ldpc,50,6,2,4000,0.000000,1.000000,4.0595,6,4:0.941500|5:0.057500|6:0.001000,69.62,5.04,92,65.56,986.38,65.62,7.2428,3049.0,8034.6,26728.1,2435.8,5051.0
1000,ldpc,50,6,5,4000,0.000000,1.000000,1.4623,4,1:0.577250|2:0.383750|3:0.038500|4:0.000500,68.58,4.84,89,67.12,987.42,67.58,7.2333,3049.0,8021.2,26658.0,2363.1,5041.5
1000,ldpctri,50,6,0,4000,0.012750,1.000000,6.0127,7,6:0.987250|7:0.012750,70.20,5.03,88,64.19,985.80,64.20,7.2311,3008.4,8026.8,26778.7,2476.6,5025.0
1000,ldpctri,50,6,1,4000,0.000250,1.000000,5.0300,7,5:0.970250|6:0.029500|7:0.000250,70.02,5.00,90,64.99,985.98,65.02,7.2360,3008.0,8015.9,26756.5,2463.6,5061.0
1000,ldpctri,50,6,2,4000,0.000000,1.000000,4.0628,6,4:0.937750|5:0.061750|6:0.000500,69.56,4.86,90,65.50,986.44,65.56,7.2355,3008.2,8011.0,26736.7,2430.9,5032.7
1000,ldpctri,50,6,5,4000,0.000000,1.000000,1.4708,4,1:0.571500|2:0.387000|3:0.040750|4:0.000750,68.65,4.89,89,67.18,987.35,67.65,7.2374,3008.2,7999.7,26668.6,2368.3,5058.7
1000,ldpc2x,100,6,0,4000,0.013000,1.000000,6.0133,8,6:0.987000|7:0.012750|8:0.000250,116.00,5.95,139,109.99,990.00,110.00,7.2268,3099.0,7474.6,43498.4,6745.3,23316.3
1000,ldpc2x,100,6,1,4000,0.000000,1.000000,5.0340,6,5:0.966000|6:0.034000,115.80,5.99,140,110.77,990.20,110.80,7.2398,3099.0,7471.6,43483.3,6722.8,23409.1
1000,ldpc2x,100,6,2,4000,0.000000,1.000000,4.0587,6,4:0.941500|5:0.058250|6:0.000250,115.60,5.96,139,111.54,990.40,111.60,7.2388,3099.0,7472.0,43464.3,6698.7,23490.5
1000,ldpc2x,100,6,5,4000,0.000000,1.000000,1.4447,4,1:0.592750|2:0.370250|3:0.036500|4:0.000500,114.75,5.97,145,113.31,991.25,113.75,7.2410,3099.0,7460.9,43444.6,6601.3,23594.9
1000,ldpc_s25,25,6,0,4000,0.027500,1.000000,6.0435,14,6:0.972500|7:0.021500|8:0.002250|9:0.000750|10:0.001750|12:0.000750|13:0.000250|14:0.000250,47.10,4.59,70,41.05,983.90,41.10,7.2325,3024.0,8488.0,16928.7,1119.3,1469.1
1000,ldpc_s25,25,6,1,4000,0.005250,1.000000,5.0553,13,5:0.960750|6:0.034000|7:0.001750|8:0.001000|9:0.000250|10:0.000750|11:0.000750|12:0.000500|13:0.000250,46.80,4.49,66,41.74,984.20,41.80,7.2412,3024.0,8475.6,16905.9,1104.8,1472.8
1000,ldpc_s25,25,6,2,4000,0.005000,1.000000,4.1105,13,4:0.912750|5:0.077500|6:0.004750|7:0.002500|8:0.000500|9:0.000500|10:0.000250|11:0.000500|12:0.000250|13:0.000500,46.40,4.45,69,42.29,984.60,42.40,7.2442,3024.0,8474.3,16869.0,1086.2,1468.7
1000,ldpc_s25,25,6,5,4000,0.002000,1.000000,1.5057,21,1:0.573750|2:0.373250|3:0.043500|4:0.003750|5:0.002750|6:0.001000|7:0.000750|8:0.000250|9:0.000250|11:0.000500|21:0.000250,45.13,4.49,67,43.63,985.87,44.13,7.2421,3024.0,8461.2,16778.8,1028.3,1447.2
1000,ldpc_s12,12,6,0,4000,0.225000,1.000000,6.8560,33,6:0.775000|7:0.077000|8:0.040500|9:0.020250|10:0.018500|11:0.014750|12:0.011750|13:0.010000|14:0.007250|15:0.005250|16:0.005000|17:0.005500|18:0.003500|19:0.000500|20:0.001750|21:0.001500|22:0.001000|25:0.000250|26:0.000250|27:0.000250|33:0.000250,35.76,4.15,57,28.90,982.24,29.76,7.2302,3011.0,8872.0,11186.9,647.6,621.8
1000,ldpc_s12,12,6,1,4000,0.167000,1.000000,5.9943,25,5:0.733000|6:0.100000|7:0.038250|8:0.027000|9:0.022250|10:0.016750|11:0.013000|12:0.011000|13:0.010000|14:0.007750|15:0.005500|16:0.005250|17:0.003250|18:0.001750|19:0.001500|20:0.000500|21:0.001500|22:0.000750|24:0.000500|25:0.000500,35.37,4.19,54,29.38,982.63,30.37,7.2395,3011.0,8865.0,11181.5,634.2,621.7
1000,ldpc_s12,12,6,2,4000,0.138500,1.000000,5.1545,31,4:0.692750|5:0.128500|6:0.040250|7:0.026000|8:0.021000|9:0.017500|10:0.016000|11:0.011750|12:0.011250|13:0.007750|14:0.004750|15:0.005250|16:0.004500|17:0.003000|18:0.003250|19:0.001500|20:0.001250|21:0.001000|22:0.001500|23:0.000250|25:0.000250|26:0.000500|31:0.000250,34.93,4.26,63,29.78,983.07,30.93,7.2354,3011.0,8868.2,11126.7,619.0,618.7
1000,ldpc_s12,12,6,5,4000,0.107250,1.000000,2.9823,30,1:0.361250|2:0.319000|3:0.104500|4:0.048250|5:0.033000|6:0.026750|7:0.021250|8:0.015250|9:0.013000|10:0.012000|11:0.009750|12:0.007750|13:0.005750|14:0.007750|15:0.003750|16:0.003500|17:0.001500|18:0.001750|19:0.001000|20:0.001750|21:0.000500|22:0.000250|23:0.000250|29:0.000250|30:0.000250,33.63,4.24,57,30.65,984.37,32.63,7.2352,3011.0,8852.1,10987.2,574.4,605.2
