# scan: threads=80 N=[25787,32000] trials/N=150 bb=64 startMode=0 loss=0.10 thresh=0.100
WEAK N=30515  mean=4.5333 max=459 fail=0
WEAK N=30502  mean=0.9067 max=130 fail=0
WEAK N=30546  mean=0.5667 max=82 fail=0
WEAK N=30638  mean=2.0867 max=313 fail=0
WEAK N=30756  mean=3.3800 max=217 fail=0
WEAK N=30840  mean=0.2333 max=32 fail=0
WEAK N=30883  mean=0.1467 max=15 fail=0
WEAK N=30911  mean=6.1467 max=920 fail=0
WEAK N=30969  mean=6.7267 max=1006 fail=0
WEAK N=30986  mean=3.1600 max=467 fail=0
WEAK N=30993  mean=1.6800 max=246 fail=0
WEAK N=31031  mean=3.9600 max=339 fail=0
WEAK N=31079  mean=0.3200 max=42 fail=0
WEAK N=31136  mean=0.6333 max=90 fail=0
WEAK N=31123  mean=0.2067 max=25 fail=0
WEAK N=31308  mean=0.3733 max=53 fail=0
WEAK N=31286  mean=6.7467 max=1010 fail=0
WEAK N=31306  mean=0.3400 max=51 fail=0
WEAK N=31292  mean=2.9333 max=190 fail=0
WEAK N=31328  mean=1.3600 max=124 fail=0
WEAK N=31301  mean=4.0333 max=300 fail=0
WEAK N=31324  mean=0.2267 max=33 fail=0
WEAK N=31370  mean=5.3267 max=665 fail=0
WEAK N=31412  mean=2.6333 max=206 fail=0
WEAK N=31406  mean=0.4133 max=42 fail=0
WEAK N=31446  mean=0.6133 max=57 fail=0
WEAK N=31452  mean=0.1467 max=18 fail=0
WEAK N=31475  mean=8.1333 max=1219 fail=0
WEAK N=31579  mean=27.9933 max=4197 fail=0
WEAK N=31620  mean=5.1533 max=768 fail=0
WEAK N=31638  mean=1.2333 max=181 fail=0
WEAK N=31653  mean=2.5667 max=383 fail=0
WEAK N=31641  mean=1.1333 max=167 fail=0
WEAK N=31691  mean=15.8733 max=2174 fail=0
WEAK N=31734  mean=0.5200 max=72 fail=0
WEAK N=31771  mean=74.1133 max=11115 fail=0
WEAK N=31752  mean=3.3000 max=298 fail=0
WEAK N=31819  mean=0.8467 max=123 fail=0
WEAK N=31891  mean=5.6200 max=839 fail=0
WEAK N=31912  mean=0.2667 max=28 fail=0
WEAK N=31950  mean=0.4933 max=73 fail=0
# scan done: 6214 N scanned
