# scan: threads=96 N=[2048,24000] trials/N=200 bb=64 startMode=0 loss=0.10 thresh=0.100
WEAK N=13631  mean=2.4250 max=483 fail=0
WEAK N=13645  mean=5.3150 max=1059 fail=0
WEAK N=13661  mean=0.1950 max=29 fail=0
WEAK N=13750  mean=0.2800 max=21 fail=0
WEAK N=13820  mean=13.8150 max=2760 fail=0
WEAK N=13806  mean=1.7550 max=344 fail=0
WEAK N=13859  mean=0.2800 max=23 fail=0
WEAK N=13873  mean=511.3150 max=4429 fail=0
WEAK N=13893  mean=41.9950 max=2811 fail=0
WEAK N=13996  mean=0.5250 max=34 fail=0
WEAK N=14041  mean=2.0200 max=400 fail=0
WEAK N=14275  mean=2.0500 max=408 fail=0
WEAK N=14266  mean=4.2150 max=471 fail=0
WEAK N=14394  mean=0.7250 max=141 fail=0
WEAK N=14518  mean=8.3300 max=838 fail=0
WEAK N=14551  mean=5.8600 max=1167 fail=0
WEAK N=14548  mean=0.2700 max=18 fail=0
WEAK N=14721  mean=15.2750 max=1031 fail=0
WEAK N=14674  mean=0.1800 max=11 fail=0
WEAK N=14718  mean=1.2450 max=246 fail=0
WEAK N=14821  mean=6.5750 max=1309 fail=0
WEAK N=14864  mean=3.0500 max=603 fail=0
WEAK N=14964  mean=1.0450 max=206 fail=0
WEAK N=14990  mean=5.7050 max=586 fail=0
WEAK N=14985  mean=14.5250 max=1170 fail=0
WEAK N=15019  mean=0.1050 max=7 fail=0
WEAK N=15125  mean=8.1200 max=1622 fail=0
WEAK N=15201  mean=21.9850 max=2201 fail=0
WEAK N=15210  mean=0.2000 max=36 fail=0
WEAK N=15315  mean=7.1650 max=1429 fail=0
WEAK N=15323  mean=0.3450 max=38 fail=0
WEAK N=15371  mean=44.0100 max=8754 fail=0
WEAK N=15446  mean=0.2100 max=16 fail=0
WEAK N=15543  mean=6.1050 max=1216 fail=0
WEAK N=15549  mean=14.3800 max=2872 fail=0
WEAK N=15597  mean=12.5150 max=2496 fail=0
WEAK N=15621  mean=124.6250 max=8053 fail=0
